repeat,outer_fold,config_id,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,inner_selected_threshold,inner_selected_epochs_median,inner_pr_auc,inner_roc_auc,inner_recall,inner_specificity,inner_balanced_accuracy,inner_mcc,inner_f1_score,inner_accuracy,inner_threshold,inner_tp,inner_tn,inner_fp,inner_fn
10,1,1,80,16,48,0.0003,0.0001,0.2,0.4599999999999999,35,0.5013357650491808,0.8180000000000001,0.8769230769230769,0.7153846153846154,0.7961538461538462,0.3598508030042909,0.3713355048859935,0.73006993006993,0.4599999999999999,57,465,185,8
10,1,2,64,16,24,0.0003,0.001,0.4,0.575,37,0.47444699061153206,0.7721065088757396,0.2153846153846154,0.9969230769230769,0.6061538461538462,0.41264872465219316,0.345679012345679,0.9258741258741259,0.575,14,648,2,51
10,1,3,32,64,16,0.0005,0.0001,0.5,0.5049999999999999,15,0.4383446450484223,0.7891952662721895,0.3384615384615385,0.9830769230769231,0.6607692307692308,0.4405519509721599,0.4489795918367347,0.9244755244755245,0.5049999999999999,22,639,11,43
10,1,4,64,64,48,0.001,0.0005,0.2,0.565,18,0.3213033160773189,0.6551005917159763,0.24615384615384617,0.9907692307692307,0.6184615384615384,0.39440531887330776,0.36781609195402304,0.9230769230769231,0.565,16,644,6,49
10,1,5,80,16,24,0.0005,0.0001,0.5,0.5299999999999999,23,0.33739841593584396,0.6545798816568047,0.27692307692307694,0.9892307692307692,0.6330769230769231,0.41653505167676147,0.4,0.9244755244755245,0.5299999999999999,18,643,7,47
10,2,0,80,16,16,0.0003,0.001,0.5,0.4699999999999999,7,0.27474995985024925,0.6525562130177516,0.24615384615384617,0.9892307692307692,0.6176923076923078,0.3835080333724724,0.36363636363636365,0.9216783216783216,0.4699999999999999,16,643,7,49
10,2,1,32,32,48,0.0005,0.0005,0.2,0.4749999999999999,19,0.3571992580590094,0.8078816568047338,0.9230769230769231,0.7215384615384616,0.8223076923076924,0.39202731748117664,0.39215686274509803,0.7398601398601399,0.4749999999999999,60,469,181,5
10,2,2,48,64,48,0.0005,0.001,0.5,0.5249999999999999,10,0.42263794902183033,0.8284023668639053,0.3076923076923077,0.9969230769230769,0.6523076923076923,0.50709255283711,0.45977011494252884,0.9342657342657342,0.5249999999999999,20,648,2,45
10,2,3,32,16,24,0.0003,0.0005,0.4,0.48499999999999993,10,0.3198824884911935,0.6725207100591717,0.6461538461538462,0.6584615384615384,0.6523076923076923,0.18145751367274016,0.25531914893617025,0.6573426573426573,0.48499999999999993,42,428,222,23
10,2,4,32,32,24,0.0005,0.0001,0.4,0.5149999999999999,18,0.45414266849192036,0.7909940828402366,0.5076923076923077,0.9815384615384616,0.7446153846153847,0.5791398665906422,0.6,0.9384615384615385,0.5149999999999999,33,638,12,32
